ra,dec,gmag,gflux,gflux_err,rmag,rflux,rflux_err,imag,iflux,iflux_err
63.738161772776195,51.23224542613004,-14.920022477212175,928985.6186989121,969.1372752807539,-14.368655400785164,559064.8146361066,754.3159798492724,-13.613211920620383,278794.8636054103,533.0723473419864
63.738161772776195,51.23224542613004,-14.920022477212175,928985.6186989121,969.1372752807539,-14.368655400785164,559064.8146361066,754.3159798492724,-13.609234467037892,277775.40329978114,532.1152762278736
63.738316564153884,51.23245240650502,-14.91503629876206,924729.0893299506,966.938741063591,-14.474193674909293,616137.2558180826,791.2427179051596,-13.604333175223616,276524.27992631047,530.9383616029223
63.73846827123693,51.232575349316875,-14.875943771029164,892025.9905769384,949.8775869640415,-14.450453288174291,602811.2035087878,782.776459999053,-13.535709735959788,259587.57081416028,514.7415222317366
63.96445871595382,51.11547017677685,-14.20052078357549,478859.726813852,699.3576813430619,-14.096639601090635,435166.8861034819,667.1541567908748,-13.423334660966892,234063.59137778997,489.32081017781684
63.7380019593069,51.23186088216782,-14.754260922417755,797451.6646711009,898.7174774704188,-14.138276100700917,452179.05332275707,679.7844041625391,-13.421867400507516,233747.4922194728,488.9977056334292
63.96445871595382,51.11547017677685,-14.20052078357549,478859.726813852,699.3576813430619,-14.096639601090635,435166.8861034819,667.1541567908748,-13.415783201917906,232441.2920077093,487.6602873958411
63.964657267802224,51.1156411817513,-14.131860757187107,449515.11847330374,678.0535068215454,-13.964654877290405,385355.8452242857,628.7158563645003,-13.38826747837054,226624.56910199006,481.6594574980077
63.730221384048996,51.17859697277902,-13.078583341680659,170385.7760509231,425.00260668684706,-13.69264261183039,299955.64859071944,556.6717447568008,-13.36749967683506,222330.92288924064,477.1815029781914
63.73847488307858,51.2324459674306,-14.899832695619303,911870.3156701529,960.2665022325025,-14.474193674909293,616137.2558180826,791.2427179051596,-13.352415311277825,219263.39006141224,473.9563840235695
63.73036602859469,51.1786950682844,-13.050765898940494,166075.80245785846,419.9014671295519,-13.69264261183039,299955.64859071944,556.6717447568008,-13.33348985214842,215474.52939064507,469.9423297447572
63.738316564153884,51.23245240650502,-14.91503629876206,924729.0893299506,966.938741063591,-14.474193674909293,616137.2558180826,791.2427179051596,-13.316171176886707,212064.7431105779,466.300339916092
63.737850675255544,51.23214483111735,-14.836637496501318,860310.0545833551,933.0334904080597,-14.358126561254565,553669.5310017627,750.7311861256492,-13.300903629878338,209103.57212482457,463.1142796547194
63.96415738625336,51.11515444988796,-14.207334161739356,481874.1892472993,701.5095358489369,-14.08118961883656,429018.32953328436,662.5300841117675,-13.28375000495721,205825.8899939568,459.5619151858016
63.73003192498818,51.17816416552845,-13.048198972772573,165683.6254462899,419.4342202133507,-13.587178280343116,272189.4651026527,531.1471057273249,-13.270802374628419,203385.95070328264,456.89956729960653
63.964657267802224,51.1156411817513,-14.131860757187107,449515.11847330374,678.0535068215454,-13.964654877290405,385355.8452242857,628.7158563645003,-13.24521791553358,198649.3581754752,451.6864200645845
63.964657267802224,51.1156411817513,-14.131860757187107,449515.11847330374,678.0535068215454,-13.964654877290405,385355.8452242857,628.7158563645003,-13.213791923715807,192981.98512114907,445.3686664061967
63.83255346039685,51.2400584180567,-13.180860778982295,187216.5817834357,444.3624887669158,-13.567715013023562,267353.5808069368,526.5751262894954,-13.200776566387502,190682.4074960366,442.77948393226364
63.964657267802224,51.1156411817513,-14.131860757187107,449515.11847330374,678.0535068215454,-13.964654877290405,385355.8452242857,628.7158563645003,-13.173944949373805,186027.85555691062,437.49185072661146
63.79241182853114,51.194599696206836,-13.364962126948418,221811.90452023718,481.71915486093025,-13.584649966530826,271556.36496963585,530.5507966156465,-13.146291003188002,181349.51618240704,432.1119994604317
63.792600997575455,51.19473606871377,-13.349525489640829,218680.56930951285,478.457948987374,-13.584649966530826,271556.36496963585,530.5507966156465,-13.138442008108326,180043.23315276898,430.59783678979863
63.79241182853114,51.194599696206836,-13.364962126948418,221811.90452023718,481.71915486093025,-13.584649966530826,271556.36496963585,530.5507966156465,-13.138060070918709,179979.90919563978,430.52430023278
63.96445871595382,51.11547017677685,-14.20052078357549,478859.726813852,699.3576813430619,-14.096639601090635,435166.8861034819,667.1541567908748,-13.121240327060967,177213.225695051,427.29906340914914
63.832062099120606,51.23953507384462,-13.159143386095746,183508.99401073353,440.17091413498144,-13.4610333337657,242333.4323028661,502.2561250226097,-13.071934706166981,169345.58648469156,417.991447735449
63.7388944633303,51.232847795485384,-14.563529576786449,668977.9921647548,824.1477002360963,-14.298590001376759,524126.3578673182,730.790079767904,-13.034598457579465,163621.12825649267,411.0868425914137
63.79224399364487,51.1942713035917,-13.260225047770726,201414.16911541088,460.0604403283362,-13.458291540094176,241722.2432880339,501.6473124695229,-13.010868079189088,160083.74354074977,406.761610081427
63.83169551984471,51.239552395169476,-13.034104074723933,163546.64140936465,416.8789765016417,-13.128442631608868,178392.68931422778,433.9590673486257,-12.998466424188573,158265.61498793136,404.52055433959896
63.79241182853114,51.194599696206836,-13.364962126948418,221811.90452023718,481.71915486093025,-13.584649966530826,271556.36496963585,530.5507966156465,-12.970442599300409,154232.90537446772,399.5049051886007
63.96415738625336,51.11515444988796,-14.207334161739356,481874.1892472993,701.5095358489369,-14.08118961883656,429018.32953328436,662.5300841117675,-12.949033250116521,151221.41588686142,395.7179295687099
63.73047250735876,51.17884712708861,-12.978260032809562,155347.4086279357,406.926096813202,-13.366671840469238,222161.46784760902,481.7564225492695,-12.941362381760902,150156.78211322345,394.3704426151997
63.72973996863314,51.17885606859689,-12.678343765662728,117852.14902651997,357.9016466380277,-13.13783460620542,179942.53832655147,435.74111711704774,-12.932712590044652,148965.27271341337,392.8568907486522
63.83268928340765,51.240189261664526,-13.100648968729235,173883.9861533638,429.09838707813327,-13.567715013023562,267353.5808069368,526.5751262894954,-12.926164891454725,148069.61821027353,391.7153074690324
63.792722686048684,51.19494801068668,-13.287529041194453,206543.54011902557,465.60173942836303,-13.584649966530826,271556.36496963585,530.5507966156465,-12.9213095539388,147408.9394335432,390.87108274829984
63.83268928340765,51.240189261664526,-13.100648968729235,173883.9861533638,429.09838707813327,-13.567715013023562,267353.5808069368,526.5751262894954,-12.877895851562446,141631.00622333898,383.4087507068977
63.83198821954953,51.239229813214564,-12.895306322224204,143920.4568364414,392.6345584333263,-13.128442631608868,178392.68931422778,433.9590673486257,-12.872172748852526,140886.40894754016,382.4364951764217
63.792722686048684,51.19494801068668,-13.287529041194453,206543.54011902557,465.60173942836303,-13.584649966530826,271556.36496963585,530.5507966156465,-12.871235996932652,140764.90733704699,382.27761016351985
63.73101508558752,51.17885809071934,-12.687572847094238,118858.19722571145,359.30437913474304,-13.073322769547751,169562.2254145803,423.6626113246737,-12.83204563003437,135774.51246429098,375.6937268035973
63.790755405508136,51.246974526316826,-14.064260622814961,422380.8784931891,657.7403120783163,-13.639603919766577,285654.8274819331,543.6750962677934,-12.822738539485563,134615.6076078007,374.1481945741363
63.729930793225066,51.17801091774659,-12.94213381181525,150263.50842035434,400.63068786607704,-13.445613476966889,238916.08567269292,498.84252875286626,-12.817728896217213,133995.9149455667,373.3191380586478
63.83169551984471,51.239552395169476,-13.034104074723933,163546.64140936465,416.8789765016417,-13.128442631608868,178392.68931422778,433.9590673486257,-12.785913479232708,130126.39301118001,368.10006371429097
63.79095378245045,51.24721695559351,-14.03623693621595,411618.3946023344,649.5073781274745,-13.598372052814154,275010.2121688538,533.7958364287933,-12.752646610227922,126199.79344654604,362.7272492408464
63.792106099711916,51.19511464797973,-12.926640045944835,148134.43261080352,397.9646620624691,-13.42677249406853,234805.89585736158,494.7056485196251,-12.745851976436208,125412.48998536277,361.6403653917077
63.963625928008895,51.11505654726897,-13.90544629571286,364903.9111470732,612.4911026184502,-13.939419893418702,376502.58069275436,621.6352334871436,-12.732273667217893,123853.83736655573,359.4789302057087
63.73003192498818,51.17816416552845,-13.048198972772573,165683.6254462899,419.4342202133507,-13.587178280343116,272189.4651026527,531.1471057273249,-12.73218319653534,123843.51748008223,359.46457596732296
63.79043854912991,51.24646180464292,-13.80488141467156,332623.2218278669,585.5464639698191,-13.396274777138535,228302.10239667413,488.08798921560793,-12.690346433570973,119162.21667319408,352.89301575474565
63.79224399364487,51.1942713035917,-13.260225047770726,201414.16911541088,460.0604403283362,-13.458291540094176,241722.2432880339,501.6473124695229,-12.687163806005906,118813.42693149313,352.39848300862224
63.7388944633303,51.232847795485384,-14.563529576786449,668977.9921647548,824.1477002360963,-14.298590001376759,524126.3578673182,730.790079767904,-12.679473231689277,117974.8116562859,351.20659952735934
63.79059337299291,51.246838793208255,-14.041766387794697,413720.03725326486,651.1232424763814,-13.535407241554193,259515.25780668986,519.0790311952036,-12.667736230172702,116706.35144848187,349.3960723072985
63.83223114926768,51.24052623084054,-12.673693016230471,117348.40917461732,357.1972127751126,-12.901201921819048,144704.0774335949,393.2325778129988,-12.653291065792825,115163.91659343506,347.1817686583213
63.83198821954953,51.239229813214564,-12.895306322224204,143920.4568364414,392.6345584333263,-13.128442631608868,178392.68931422778,433.9590673486257,-12.652628287811265,115093.63726067697,347.0805398692961
63.692407709957806,51.21462339148621,-13.412897510933737,231824.32523833058,492.0017935719567,-13.124538138992756,177752.31091524332,433.22060631404014,-12.647219877162517,114521.74341729797,346.25569643340606
63.792106099711916,51.19511464797973,-12.926640045944835,148134.43261080352,397.9646620624691,-13.42677249406853,234805.89585736158,494.7056485196251,-12.643522442334875,114132.407131483,345.69303005234
63.69258779224891,51.21492412656104,-13.376908050895187,224265.88809590825,484.25956648846903,-13.326172563962631,214027.2274485167,473.2388511823368,-12.612187265343938,110885.53753740696,340.964516383585
63.69227765245341,51.21432714062987,-13.297833981114028,208513.21877444,467.71215337441436,-13.044281693279567,165086.92466317446,418.34759170220605,-12.592018220174605,108844.70034559393,337.95852443884144
63.8431725742742,51.19063290756563,-13.73929788373106,313126.0168100356,568.6540745037596,-13.371369640562115,223124.80619204688,482.75520609508516,-12.580104765353841,107656.90894144992,336.19662823522634
63.8431725742742,51.19063290756563,-13.73929788373106,313126.0168100356,568.6540745037596,-13.371369640562115,223124.80619204688,482.75520609508516,-12.57723625878313,107372.85562763593,335.77391131968693
63.790573198153574,51.24677240396994,-14.020873733041103,405834.99486309045,645.0398704752926,-13.535407241554193,259515.25780668986,519.0790311952036,-12.574512833859991,107103.86260196583,335.37311534655083
63.7919608395839,51.194483042779964,-13.234540488861114,196705.3606464718,454.91405813204267,-13.439661167897922,237609.8647785687,497.53155437462453,-12.571643257972656,106821.1632980338,334.95138034245934
63.79224399364487,51.1942713035917,-13.260225047770726,201414.16911541088,460.0604403283362,-13.458291540094176,241722.2432880339,501.6473124695229,-12.567449739242713,106409.37581961513,334.33611787376515
63.79043854912991,51.24646180464292,-13.80488141467156,332623.2218278669,585.5464639698191,-13.396274777138535,228302.10239667413,488.08798921560793,-12.564803945014877,106150.3860621178,333.9485738214836
63.729930793225066,51.17801091774659,-12.94213381181525,150263.50842035434,400.63068786607704,-13.445613476966889,238916.08567269292,498.84252875286626,-12.557220317959757,105411.53248081998,332.840496899198
63.84346187853857,51.19086019631033,-13.717516749661856,306906.93345852196,563.159278622144,-13.361726082889291,221151.7768933769,480.70735350443533,-12.537842341207735,103546.86066487896,330.0274603122656
63.79095378245045,51.24721695559351,-14.03623693621595,411618.3946023344,649.5073781274745,-13.598372052814154,275010.2121688538,533.7958364287933,-12.536688380957397,103436.86572817457,329.8607730898896
63.8430740341985,51.190331189517586,-13.633912959539959,284161.4654567025,542.5890757252621,-13.343847224476676,217539.88258502353,476.9357036382208,-12.52861879138733,102670.93488117847,328.6977316265866
63.79111852844028,51.24752514249933,-13.834685157278617,341880.28939687135,593.3984572246233,-13.307801572367337,210436.2863091898,469.42951454829836,-12.49014602370265,99096.52136173812,323.2147664588102
63.9643819702755,51.274963359167934,-13.486799294681976,248153.1074131491,508.3252374738449,-13.16708891033062,184856.85674178763,441.3441282736736,-12.466376016541115,96950.57889673501,319.87785605136855
63.83326238742153,51.24058879254025,-12.333279145997025,85765.30934452744,309.8495586316352,-13.057285463873535,167076.04476567003,420.7182282544117,-12.460457794321208,96423.55021838132,319.0529957760409
63.93446729808802,51.12002432654567,-13.099208474420278,173653.43953981664,428.82966219643475,-13.074476671312052,169742.52902618345,423.8753494201387,-12.450362457912085,95531.14502183552,317.6513952702248
63.84357380117387,51.19116695926961,-13.555939480635104,264469.6206334618,524.1288584624525,-13.25876213140887,201142.9672665094,459.4243681895538,-12.443421499562941,94922.37585307163,316.6917108930335
63.79224399364487,51.1942713035917,-13.260225047770726,201414.16911541088,460.0604403283362,-13.458291540094176,241722.2432880339,501.6473124695229,-12.430016147321322,93757.5950669761,314.84735819482614
63.93483481643806,51.12040798510737,-13.000067161376606,158499.12336799366,410.7804316270255,-12.901857839216422,144791.52279741716,393.3437499405303,-12.420761624923152,92961.82690379865,313.5810753203766
63.96525823417203,51.1144946194348,-12.74356052155399,125148.08504182972,367.95315555315113,-13.590490248290381,273021.0291018998,531.9293298190663,-12.370145152215395,88727.46239698312,306.7551569122648
63.69324362212334,51.21478352893029,-12.983230593997606,156060.22818899102,407.8010149922174,-13.117281671644804,176568.272764775,431.85189079664366,-12.368183096317868,88567.26599234782,306.4939312411143
63.84357380117387,51.19116695926961,-13.555939480635104,264469.6206334618,524.1288584624525,-13.25876213140887,201142.9672665094,459.4243681895538,-12.36761465558436,88520.90844756221,306.4182963578501
63.79040763681927,51.24722667372229,-13.865582509547302,351749.1072203782,601.6565023832701,-13.216279808386588,193424.6961748267,450.94620410275985,-12.357935840468459,87735.29409089503,305.1336723244095
63.9643819702755,51.274963359167934,-13.486799294681976,248153.1074131491,508.3252374738449,-13.16708891033062,184856.85674178763,441.3441282736736,-12.356828052334016,87645.8224944556,304.98702659251046
